Archivo,OLD_Flow Duration,NEW_Flow Duration,OLD_Total Fwd Packets,NEW_Total Fwd Packets,OLD_Total Backward Packets,NEW_Total Backward Packets,OLD_Total Length of Fwd Packets,NEW_Total Length of Fwd Packets,OLD_Total Length of Bwd Packets,NEW_Total Length of Bwd Packets,OLD_Fwd Packet Length Max,NEW_Fwd Packet Length Max,OLD_Fwd Packet Length Min,NEW_Fwd Packet Length Min,OLD_Fwd Packet Length Mean,NEW_Fwd Packet Length Mean,OLD_Fwd Packet Length Std,NEW_Fwd Packet Length Std,OLD_Bwd Packet Length Max,NEW_Bwd Packet Length Max,OLD_Bwd Packet Length Min,NEW_Bwd Packet Length Min,OLD_Bwd Packet Length Mean,NEW_Bwd Packet Length Mean,OLD_Bwd Packet Length Std,NEW_Bwd Packet Length Std,OLD_Flow Bytes/s,NEW_Flow Bytes/s,OLD_Flow Packets/s,NEW_Flow Packets/s,OLD_Flow IAT Mean,NEW_Flow IAT Mean,OLD_Flow IAT Std,NEW_Flow IAT Std,OLD_Flow IAT Max,NEW_Flow IAT Max,OLD_Flow IAT Min,NEW_Flow IAT Min,OLD_Fwd IAT Total,NEW_Fwd IAT Total,OLD_Fwd IAT Mean,NEW_Fwd IAT Mean,OLD_Fwd IAT Std,NEW_Fwd IAT Std,OLD_Fwd IAT Max,NEW_Fwd IAT Max,OLD_Fwd IAT Min,NEW_Fwd IAT Min,OLD_Bwd IAT Total,NEW_Bwd IAT Total,OLD_Bwd IAT Mean,NEW_Bwd IAT Mean,OLD_Bwd IAT Std,NEW_Bwd IAT Std,OLD_Bwd IAT Max,NEW_Bwd IAT Max,OLD_Bwd IAT Min,NEW_Bwd IAT Min,OLD_Fwd Header Length,NEW_Fwd Header Length,OLD_Bwd Header Length,NEW_Bwd Header Length,OLD_Fwd Packets/s,NEW_Fwd Packets/s,OLD_Bwd Packets/s,NEW_Bwd Packets/s,OLD_Min Packet Length,NEW_Min Packet Length,OLD_Max Packet Length,NEW_Max Packet Length,OLD_Packet Length Mean,NEW_Packet Length Mean,OLD_Packet Length Std,NEW_Packet Length Std,OLD_Packet Length Variance,NEW_Packet Length Variance,OLD_FIN Flag Count,NEW_FIN Flag Count,OLD_SYN Flag Count,NEW_SYN Flag Count,OLD_RST Flag Count,NEW_RST Flag Count,OLD_PSH Flag Count,NEW_PSH Flag Count,OLD_ACK Flag Count,NEW_ACK Flag Count,OLD_Down/Up Ratio,NEW_Down/Up Ratio,OLD_Average Packet Size,NEW_Average Packet Size,OLD_Avg Fwd Segment Size,NEW_Avg Fwd Segment Size,OLD_Avg Bwd Segment Size,NEW_Avg Bwd Segment Size,OLD_Init_Win_bytes_forward,NEW_Init_Win_bytes_forward,OLD_Init_Win_bytes_backward,NEW_Init_Win_bytes_backward,OLD_act_data_pkt_fwd,NEW_act_data_pkt_fwd,OLD_Label,NEW_Label
Wednesday-workingHours.pcap_ISCX.csv,13763,14063,2,2,2,2,12,12,0,0,6,6,6,6,6.0,6.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,871.9029281,853.302993671336,290.6343094,284.4343312237787,4587.666667,4687.666666666667,7680.940329,7680.940329,13456,13456,47,47,307,315,307.0,315.0,0.0,0.0,307,315,307,307,13716,14063,13716.0,14063.0,0.0,0.0,13716,14063,13716,13716,40,80,64,64,145.3171547,142.21716561188936,145.3171547,142.21716561188936,0,0,6,16,3.6,3.0,3.286335345,3.286335345,10.8,10.8,1,1,0,0,0,0,0,0,0,0,1,1,4.5,4.5,6.0,6.0,0.0,0.0,0,0,235,235,1,1,DoS Hulk,DoS Hulk
Wednesday-workingHours.pcap_ISCX.csv,84110674,84110605,7,7,7,7,382,382,11595,11603,358,358,0,0,54.57142857,54.57142857142857,133.8293156,133.8293156,7240,7250,0,0,1656.428571,1654.9969482421875,2566.885263,2565.5380859375,142.3957202,142.490949862981,0.166447364,0.16644750088291482,6470051.846,6470046.538461538,23300000.0,23300000.0,83900000,83900000,0,0,84000000,84010592,14000000.0,14001765.33,34300000.0,34304325.07,83900000,83900000,0,0,84100000,84110605,14000000.0,14018434.17,34300000.0,34345163.71,84000000,84000000,91,91,184,224,232,232,0.083223682,0.08322375044145741,0.083223682,0.08322375044145741,0,0,7240,7250,798.8666667,856.0714285714286,1876.455887,1876.455887,3521086.695,3521086.695,1,1,0,0,0,0,0,0,0,0,1,1,855.9285714,855.9285714,54.57142857,54.57142857142857,1656.428571,1654.9969482421875,0,9932,235,235,4,4,DoS Hulk,DoS Hulk
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,46,146,1,1,1,3,0,0,6,14,0,0,0,0,0.0,0.0,0.0,0.0,6,16,6,4,6.0,5.594542026519775,0.0,0.0,130434.7826,95890.4109589041,43478.26087,27397.260273972603,46.0,48.666666666666664,0.0,0.0,46,49,46,46,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,40,80,20,20,21739.13043,6849.315068493151,21739.13043,20547.945205479453,0,0,6,16,2.0,3.5,3.464101615,3.464101615,12.0,12.0,0,0,0,0,0,0,1,1,0,0,1,1,3.0,3.0,0.0,0.0,6.0,5.594542026519775,29200,31880,0,0,0,0,PortScan,PortScan
Wednesday-workingHours.pcap_ISCX.csv,3,103,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6667,19417.47572815534,3.0,103.0,0.0,0.0,3,103,3,3,3,103,3.0,103.0,0.0,0.0,3,103,3,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,64,104,0,0,666666.6667,19417.47572815534,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,251,66,-1,0,0,0,DoS Hulk,DoS Hulk
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,67935842,67935042,203,203,105,105,48783,48783,183592,183600,585,585,0,0,240.3103448,240.31034482758622,252.4075112,252.4075112,1870,1880,0,0,1748.495238,1747.5555419921875,335.9927347,334.90032958984375,3420.50666,3420.6646990812196,4.533689301,4.533742689082315,221289.3876,221286.78175895766,415712.1381,415712.1381,3581223,3581223,4,4,67900000,67935042,336298.8069,336312.09,473529.5017,473548.2,3581223,3581223,887,887,67900000,67935042,653228.0,653221.56,483396.8872,483392.12,3582115,3582115,4,4,6504,6504,3368,3368,2.988113403,2.9881485905315257,1.545575898,1.5455940985507892,0,0,1870,1880,752.0226537,754.4902597402597,769.9543308,769.9543308,592829.6716,592829.6716,0,0,0,0,0,0,1,1,0,0,0,0,754.4642857,754.4642857,240.3103448,240.31034482758622,1748.495238,1747.5555419921875,29200,39431,1149,1149,101,101,Web Attack � XSS,Web Attack � XSS
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,1673884,1673834,3,3,5,5,26,26,11607,11615,20,20,0,0,8.666666667,8.666666666666666,10.26320288,10.26320288,10135,10145,0,0,2321.4,2319.325439453125,4413.201989,4411.31396484375,6949.704997,6954.692042341116,4.779303703,4.7794464684072615,239126.2857,239119.14285714287,632036.0278,632036.0278,1672449,1672449,5,5,1211,1211,605.5,605.5,787.0098475,787.01,1162,1162,49,49,1673821,1673834,418455.25,418458.5,835995.9944,836002.49,1672449,1672449,5,5,72,112,112,112,1.792238889,1.792292425652723,2.987064815,2.9871540427545384,0,0,10135,10145,1292.555556,1455.125,3350.634907,3350.634907,11200000.0,11200000.0,0,0,0,0,0,0,1,1,0,0,1,1,1454.125,1454.125,8.666666667,8.666666666666666,2321.4,2319.325439453125,8192,28005,229,229,2,2,DDoS,DDoS
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,44,144,1,1,1,3,0,0,6,14,0,0,0,0,0.0,0.0,0.0,0.0,6,16,6,4,6.0,5.594542026519775,0.0,0.0,136363.6364,97222.22222222222,45454.54545,27777.777777777777,44.0,48.0,0.0,0.0,44,48,44,44,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,40,80,20,20,22727.27273,6944.444444444444,22727.27273,20833.333333333332,0,0,6,16,2.0,3.5,3.464101615,3.464101615,12.0,12.0,0,0,0,0,0,0,1,1,0,0,1,1,3.0,3.0,0.0,0.0,6.0,5.594542026519775,29200,31880,0,0,0,0,PortScan,PortScan
Friday-WorkingHours-Morning.pcap_ISCX.csv,81,181,1,1,1,2,6,6,6,14,6,6,6,6,6.0,6.0,0.0,0.0,6,16,6,4,6.0,5.905996322631836,0.0,0.0,148148.1481,110497.23756906077,24691.35802,16574.585635359115,81.0,90.5,0.0,0.0,81,91,81,81,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,20,20,12345.67901,5524.861878453038,12345.67901,11049.723756906076,6,6,6,16,6.0,6.666666666666667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,9.0,9.0,6.0,6.0,6.0,5.905996322631836,237,66,256,256,0,0,Bot,Bot
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,58,158,1,1,1,2,2,2,6,14,2,2,2,2,2.0,2.0,0.0,0.0,6,16,6,4,6.0,5.9087958335876465,0.0,0.0,137931.0345,101265.82278481014,34482.75862,18987.3417721519,58.0,79.0,0.0,0.0,58,79,58,58,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,24,64,20,20,17241.37931,6329.113924050634,17241.37931,12658.227848101267,2,2,6,16,3.333333333,5.333333333333333,2.309401077,2.309401077,5.333333333,5.333333333,0,0,0,0,0,0,1,1,0,0,1,1,5.0,5.0,2.0,2.0,6.0,5.9087958335876465,1024,66,0,0,0,0,PortScan,PortScan
Wednesday-workingHours.pcap_ISCX.csv,106577416,106577361,17,17,2,2,5204,5204,0,0,520,520,0,0,306.1176471,306.11764705882354,263.5075621,263.5075621,0,0,0,0,0.0,0.0,0.0,0.0,48.82835591,48.828381104313515,0.178274166,0.1782742584515674,5920967.556,5920964.5,11800000.0,11800000.0,48300000,48300000,71,71,107000000,106577361,6661088.5,6661085.06,12400000.0,12399993.6,48300000,48300000,495,495,31500000,31375578,31500000.0,31375578.0,0.0,0.0,31500000,31500000,31500000,31375578,576,616,80,80,0.159508465,0.15950854703561296,0.018765702,0.018765711415954463,0,0,520,520,260.2,273.89473684210526,266.5505975,266.5505975,71049.22105,71049.22105,0,0,0,0,0,0,1,1,0,0,0,0,273.8947368,273.8947368,306.1176471,306.11764705882354,0.0,0.0,29200,30017,28960,28960,11,11,DoS Slowhttptest,DoS Slowhttptest
