Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,Label,_ORIGIN_FILE_,_ORIGIN_IDX_
14063,2,2,12,0,6,6,6.0,0.0,0,0,0.0,0.0,853.302993671336,284.4343312237787,4687.666666666667,7680.940329,13456,47,315,315.0,0.0,315,307,14063,14063.0,0.0,14063,13716,80,64,142.21716561188936,142.21716561188936,0,16,3.0,3.286335345,10.8,1,0,0,0,0,1,4.5,6.0,0.0,0,235,1,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,210226
84110605,7,7,382,11603,358,0,54.57142857142857,133.8293156,7250,0,1654.9969482421875,2565.5380859375,142.490949862981,0.16644750088291482,6470046.538461538,23300000.0,83900000,0,84010592,14001765.33,34304325.07,83900000,0,84110605,14018434.17,34345163.71,84000000,91,224,232,0.08322375044145741,0.08322375044145741,0,7250,856.0714285714286,1876.455887,3521086.695,1,0,0,0,0,1,855.9285714,54.57142857142857,1654.9969482421875,9932,235,4,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,95510
146,1,3,0,14,0,0,0.0,0.0,16,4,5.594542026519775,0.0,95890.4109589041,27397.260273972603,48.666666666666664,0.0,49,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,80,20,6849.315068493151,20547.945205479453,0,16,3.5,3.464101615,12.0,0,0,0,1,0,1,3.0,0.0,5.594542026519775,31880,0,0,PortScan,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,212064
103,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19417.47572815534,103.0,0.0,103,3,103,103.0,0.0,103,3,0,0.0,0.0,0,0,104,0,19417.47572815534,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,66,0,0,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,176136
67935042,203,105,48783,183600,585,0,240.31034482758622,252.4075112,1880,0,1747.5555419921875,334.90032958984375,3420.6646990812196,4.533742689082315,221286.78175895766,415712.1381,3581223,4,67935042,336312.09,473548.2,3581223,887,67935042,653221.56,483392.12,3582115,4,6504,3368,2.9881485905315257,1.5455940985507892,0,1880,754.4902597402597,769.9543308,592829.6716,0,0,0,1,0,0,754.4642857,240.31034482758622,1747.5555419921875,39431,1149,101,Web Attack � XSS,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,81504
1673834,3,5,26,11615,20,0,8.666666666666666,10.26320288,10145,0,2319.325439453125,4411.31396484375,6954.692042341116,4.7794464684072615,239119.14285714287,632036.0278,1672449,5,1211,605.5,787.01,1162,49,1673834,418458.5,836002.49,1672449,5,112,112,1.792292425652723,2.9871540427545384,0,10145,1455.125,3350.634907,11200000.0,0,0,0,1,0,1,1454.125,8.666666666666666,2319.325439453125,28005,229,2,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,86015
144,1,3,0,14,0,0,0.0,0.0,16,4,5.594542026519775,0.0,97222.22222222222,27777.777777777777,48.0,0.0,48,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,80,20,6944.444444444444,20833.333333333332,0,16,3.5,3.464101615,12.0,0,0,0,1,0,1,3.0,0.0,5.594542026519775,31880,0,0,PortScan,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,178262
181,1,2,6,14,6,6,6.0,0.0,16,4,5.905996322631836,0.0,110497.23756906077,16574.585635359115,90.5,0.0,91,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,5524.861878453038,11049.723756906076,6,16,6.666666666666667,0.0,0.0,0,0,0,0,1,1,9.0,6.0,5.905996322631836,66,256,0,Bot,Friday-WorkingHours-Morning.pcap_ISCX.csv,122979
158,1,2,2,14,2,2,2.0,0.0,16,4,5.9087958335876465,0.0,101265.82278481014,18987.3417721519,79.0,0.0,79,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,64,20,6329.113924050634,12658.227848101267,2,16,5.333333333333333,2.309401077,5.333333333,0,0,0,1,0,1,5.0,2.0,5.9087958335876465,66,0,0,PortScan,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,136255
106577361,17,2,5204,0,520,0,306.11764705882354,263.5075621,0,0,0.0,0.0,48.828381104313515,0.1782742584515674,5920964.5,11800000.0,48300000,71,106577361,6661085.06,12399993.6,48300000,495,31375578,31375578.0,0.0,31500000,31375578,616,80,0.15950854703561296,0.018765711415954463,0,520,273.89473684210526,266.5505975,71049.22105,0,0,0,1,0,0,273.8947368,306.11764705882354,0.0,30017,28960,11,DoS Slowhttptest,Wednesday-workingHours.pcap_ISCX.csv,74478
1033099,3,4,26,11609,20,0,8.666666666666666,10.26320288,8685,0,2898.0126953125,4086.0654296875,11262.231402798763,6.775730109118293,172183.16666666666,418809.0516,1027069,43,5825,2912.5,3995.86,5738,87,1033099,344366.33,591242.17,1027069,160,112,92,2.9038843324792687,3.871845776639025,0,8685,1662.142857142857,3091.095642,9554872.268,0,0,0,1,0,1,1661.0,8.666666666666666,2898.0126953125,27951,229,2,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,143088
18469690,11,6,1548,11640,387,0,140.72727272727272,195.2511669,5802,0,1937.0875244140625,2983.165771484375,714.0347239179434,0.9204269264941642,1154355.625,3303398.491,12600000,48,13477882,1347788.2,3973299.19,12600000,214,18469690,3693938.0,5413511.3,12600000,87,400,200,0.5955703642021063,0.32485656229205795,0,5802,775.7647058823529,1847.816185,3414424.654,0,0,0,1,0,0,775.2941176,140.72727272727272,1937.0875244140625,48283,235,4,DoS GoldenEye,Wednesday-workingHours.pcap_ISCX.csv,332150
148,1,2,2,14,2,2,2.0,0.0,16,4,5.9087958335876465,0.0,108108.1081081081,20270.27027027027,74.0,0.0,74,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,64,20,6756.756756756757,13513.513513513513,2,16,5.333333333333333,2.309401077,5.333333333,0,0,0,1,0,1,5.0,2.0,5.9087958335876465,66,0,0,PortScan,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,270325
103,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19417.47572815534,103.0,0.0,103,3,103,103.0,0.0,103,3,0,0.0,0.0,0,0,104,0,19417.47572815534,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,66,0,0,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,232746
98652474,8,5,56,11615,20,0,7.0,5.656854249,10145,0,2319.442138671875,4411.35888671875,118.30417957891254,0.13177571198062402,8221039.5,27100000.0,94300000,1,98652474,14093210.57,35993451.46,94300000,1,1085306,271326.5,541896.41,1072604,4,212,112,0.08109274583423016,0.05068296614639386,0,10145,897.7692307692307,2705.044255,7317264.423,0,0,0,0,1,0,897.6153846,7.0,2319.442138671875,15048,229,6,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,151336
